video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
['"TQ3TnP3s6ZY","Big Treat Week - OFFER ENDS 1st FEB!! 🍗🍗🍗","2021-01-29T14:37:26Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-01-29T14:37:26Z","[none]","684","18","1","0","https://i.ytimg.com/vi/TQ3TnP3s6ZY/default.jpg","False","False","23rd Jan - 1st Feb Savings up to 42%And upto 100% cashback via Paytm! **Valid on Dine-in, Takeaway, KFC App or website.There’s something for everyone.**T&C Apply"']
['"cNGDFy728Z0","Muzaffarpur! We heard you crave for fried chicken, that’s why we are HERE!","2021-01-27T07:46:39Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-01-27T07:46:39Z","[none]","1438","32","3","0","https://i.ytimg.com/vi/cNGDFy728Z0/default.jpg","False","False",""']
['"SYxIk5bZ-MM","Muzaffarpur! We heard you crave for fried chicken, that’s why we are HERE!","2021-01-23T06:43:32Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-01-23T06:43:32Z","[none]","1728","21","7","0","https://i.ytimg.com/vi/SYxIk5bZ-MM/default.jpg","False","False",""']
['"YhVzwPSneVs","New year wali feeling ab Friday ko bhi! | KFC BIG TREAT WEEK | 23rd Jan - 1st Feb","2021-01-23T06:00:05Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-01-23T06:00:05Z","[none]","2560","49","5","5","https://i.ytimg.com/vi/YhVzwPSneVs/default.jpg","False","False","Savings up to 42%And upto 100% cashback via Paytm! **Valid on Dine-in, Takeaway, KFC App or website.There’s something for everyone.**T&C Apply"']
['"MeS_3GgrKHU","Your week to treat whoever you want, even if it’s yourself! ;)","2021-01-23T05:30:03Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-01-23T05:30:03Z","[none]","979","25","2","1","https://i.ytimg.com/vi/MeS_3GgrKHU/default.jpg","False","False","KFC BIG TREAT WEEK !23rd Jan - 1st Feb Savings up to 42%And upto 100% cashback via Paytm! **Valid on Dine-in, Takeaway, KFC App or website.There’s something for everyone.**T&C Apply"']
['"FTQhTsgYD_A","KFC BIG TREAT WEEK  | 23rd Jan - 1st Feb","2021-01-22T13:04:37Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-01-22T13:04:37Z","[none]","1430","20","5","2","https://i.ytimg.com/vi/FTQhTsgYD_A/default.jpg","False","False","Savings up to 42%And upto 100% cashback via Paytm! **Valid on Dine-in, Takeaway, KFC App or website.There’s something for everyone.**T&C Apply"']
['"hz8abQCvYGU","2021 done the right way -","2021-01-20T06:04:13Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-01-20T06:04:13Z","[none]","141002","28","5","5","https://i.ytimg.com/vi/hz8abQCvYGU/default.jpg","False","False","KFC BIG TREAT WEEK - 23rd Jan - 1st Feb.Savings up to 42%And upto 100% cashback via Paytm! **Valid on Dine-in, Takeaway, KFC App or website.There’s something for everyone.**T&C Apply"']
['"Ukr8hJzQqi4","2021 not living up to your expectations? We know what will!","2021-01-20T06:02:19Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-01-20T06:02:19Z","[none]","553507","28","6","5","https://i.ytimg.com/vi/Ukr8hJzQqi4/default.jpg","False","False","KFC BIG TREAT WEEK - 23rd Jan - 1st Feb.Savings up to 42%And upto 100% cashback via Paytm! **Valid on Dine-in, Takeaway, KFC App or website.There’s something for everyone.**T&C Apply"']
['"Rbwdr_Q0vBw","Aaj kuch special le jao! \'Cos there’s something for everyone!","2021-01-18T12:33:29Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2021-01-18T12:33:29Z","[none]","2795","53","5","0","https://i.ytimg.com/vi/Rbwdr_Q0vBw/default.jpg","False","False","It\'s KFC Aaj Ka Special🤤🤤🤤Order now and get all your favourite in one meal! 🍗🍗🍗#KFCAajKaSpecial"']
['"_ioaar92wkI","Bhimavaram! We heard you crave for fried chicken, that’s why we are HERE!","2020-12-24T14:02:33Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-12-24T14:02:33Z","[none]","6061","88","8","0","https://i.ytimg.com/vi/_ioaar92wkI/default.jpg","False","False",""']
