video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
['"LIm69shqriE","El Muy, Muy, Muy Refrescante Deal en El $1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:02:59Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:02:59Z","refresco de mcdonald\'s $1|dollar menu en mcdonald\'s|refrescos un dólar mcdonald\'s|refrescos a un dólar|refrescos dólar|refrescos de mcdonald\'s|sodas mcdonald\'s|sodas en mcdonald\'s|gaseosas mcdonald\'s|bebidas dollar menu","2165","10","3","0","https://i.ytimg.com/vi/LIm69shqriE/default.jpg","True","False","Aquí tienes una oferta refrescante: llévate un refresco de CUALQUIER tamaño por solo $1, en el $1 $2 $3 Dollar Menu de McDonald\'s.Descarga el app de McDonald\'s para ordenar una Bebida de McDonald\'s a $1 con tu producto favorito del menú: https://www.mcdonalds.com/us/es-us/download-app.html"']
['"ehRDI7Cgr94","The You Can\'t Get A Coke From McDonald\'s At Home Deal on the $1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:02:59Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:02:59Z","mcdonalds soft drinks|mcdonalds dollar menu|mcdonalds coke|why does mcdonalds coke taste better|sodas at mcdonalds|mcdonalds dollar menu drinks|mcdonalds coca cola|mcdonalds drink menu|mcdonalds dollar drink menu","2352","29","4","0","https://i.ytimg.com/vi/ehRDI7Cgr94/default.jpg","True","False","Nothing tastes better than a refreshing Coke from McDonald\'s. Get ANY size soft drink for only $1 on the McDonald\'s $1 $2 $3 Dollar Menu. Download McDonald\'s app and grab an ice cold Coca Cola® from McDonald\'s today: https://www.mcdonalds.com/us/en-us/download-app.html"']
['"gKC6R3RVATI","The 5 Minutes of Silence Meal on The $1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:01:13Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:01:13Z","mcdonalds dollar menu|1 2 3 dollar menu|mcdonalds|mcdonalds youtube|mcchicken|mcdonalds fries|chicken mcnuggets|best road trip food|road trip food|mcdonalds road trip","6216","55","5","0","https://i.ytimg.com/vi/gKC6R3RVATI/default.jpg","True","False","Treat yourself to a McChicken®, Small Fries, McDouble®, or 4 piece Chicken McNuggets® (and a few moments of silence) for just a few bucks. There\'s a meal for every moment on the McDonald\'s $1 $2 $3 Dollar Menu."']
['"KzMEHhoTViA","“終於能安靜5分鐘” 的一餐，就在$1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:01:08Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:01:08Z","mcdonalds dollar menu|1 2 3 dollar menu|mcdonalds|mcdonalds youtube|mcchicken|mcdonalds薯條|chicken mcnuggets|駕車旅行最佳美食|駕車旅行美食|mcdonalds 駕車旅行","1799","10","1","0","https://i.ytimg.com/vi/KzMEHhoTViA/default.jpg","True","False","只需幾塊錢，就能犒賞自己McChicken®，小份薯條，McDouble®或是四塊裝Chicken McNuggets®（還有片刻的安靜時光）。在McDonald\'s $1 $2 $3 Dollar Menu，任何時刻都有專屬的一餐。"']
['"eLe1xASP8AI","“終於能安靜5分鐘” 的一餐，就在$1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:01:03Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:01:03Z","mcdonalds dollar menu|1 2 3 dollar menu|mcdonalds|mcdonalds youtube|mcchicken|mcdonalds薯條|chicken mcnuggets|駕車旅行最佳美食|駕車旅行美食|mcdonalds 駕車旅行","2511","10","0","0","https://i.ytimg.com/vi/eLe1xASP8AI/default.jpg","True","False","只需幾塊錢，就能犒賞自己McChicken®，小份薯條，McDouble®或是四塊裝Chicken McNuggets®（還有片刻的安靜時光）。在McDonald\'s $1 $2 $3 Dollar Menu，任何時刻都有專屬的一餐。利用McDonald\'s app, 預先點餐。https://www.mcdonalds.com/us/en-us/download-app.html"']
['"udmgElF7soE","“5분의 평화”를 주는 바로 그 딜이 있는 $1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:00:57Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:00:57Z","mcdonalds dollar menu|1 2 3 dollar menu|mcdonalds|mcdonalds youtube|mcchicken|mcdonalds fries|chicken mcnuggets|최고의 로드 트립 음식|로드 트립 음식|mcdonalds 로드 트립","1512","41","1","0","https://i.ytimg.com/vi/udmgElF7soE/default.jpg","True","False","나를 대접하는 맛있는 음식, McChicken®, 스몰 Fries, McDouble®, 또는 4피스 Chicken McNuggets®를 (잠시 침묵) 단 몇 불에. McDonald\'s $1 $2 $3 Dollar Menu에는 모든 순간을 위한 맛있는 음식들이 있죠.McDonald\'s 앱에서 미리 주문하세요.https://www.mcdonalds.com/us/en-us/download-app.html"']
['"VkfaFhZzll8","Ang “Galit-galit Muna” Meal sa $1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:00:52Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:00:52Z","mcdonalds dollar menu|1 2 3 dollar menu|mcdonalds|mcdonalds youtube|mcchicken|mcdonalds fries|chicken mcnuggets|best road trip food|road trip food|mcdonalds road trip","2431","39","2","0","https://i.ytimg.com/vi/VkfaFhZzll8/default.jpg","True","False","I-treat ang sarili sa  McChicken®, Small Fries, McDouble®, o 4 piece Chicken McNuggets® (at enjoy ka muna) for a few bucks lang. There\'s a meal for every moment sa McDonald\'s $1 $2 $3 Dollar Menu. Umorder ahead sa McDonald\'s app.https://www.mcdonalds.com/us/en-us/download-app.html"']
['"dKXVqjyZSpY","El SIIIIIIIIII Meal en el $1 $2 $3 Dollar Menu | McDonald\'s","2021-02-10T01:00:46Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-10T01:00:46Z","mcdonalds dollar menu|1 2 3 dollar menu|mcdonalds|mcdonalds youtube|mcchicken|mcdonalds fries|chicken mcnuggets|best road trip food|road trip food|mcdonalds road trip","2715","44","6","0","https://i.ytimg.com/vi/dKXVqjyZSpY/default.jpg","True","False","Di que síííííííí a tus favoritos de McDonald\'s, como un McChicken®, McNuggets® de 4 pzs., papitas pequeñas, o una McDouble® por unos pocos dólares. Hay un meal para cada momento en el $1 $2 $3 Dollar Menu de McDonald\'s. Descarga el app de McDonald\'s hoy: https://www.mcdonalds.com/us/es-us/download-app.html"']
['"Bf2i4Zp_ipA","Amongst Family: Growing Together | McDonald’s","2021-02-05T22:11:07Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-05T22:11:07Z","McDonald’s|McDonald’s Owner|McDonald’s Operator|McDonald’s Owner Operator|Immigrant Archive Project|Immigrant|Entrepreneur|Community|Amongst Family|Entre Familia|Family business|Growing|Mentoring|Helping Others|Doing Good|Helping Family|McDonald’s Crew|Helping staff|Cuban|Cubanos|Cubano|Exilio|Washington|D.C.","6728","82","14","0","https://i.ytimg.com/vi/Bf2i4Zp_ipA/default.jpg","True","False","Meet Carlos Mateos Sr. and Jr., McDonald’s franchisees in the Northeast. Find out how this father/son duo help one another grow while also providing various opportunities to members of their local community and crew."']
['"KMcpkH0hzvQ","Amongst Family: Find Your Passion | McDonald’s","2021-02-05T22:11:04Z","UCRI5ZedBs0_BYY4PlxD6m7w","McDonald\'s","1","2021-02-05T22:11:04Z","McDonald’s|McDonald’s Owner|McDonald’s Operator|McDonald’s Owner Operator|Immigrant Archive Project|Immigrant|Entrepreneur|Community|Amongst Family|Entre Familia|immigrant|Family business|Growing|McDonald’s Crew|Helping staff|Mexican|Mexicana|Hard Work|Passion|Legacy|Millennial|Young Entrepreneur","5188","47","10","0","https://i.ytimg.com/vi/KMcpkH0hzvQ/default.jpg","True","False","Meet Larisa Michell, McDonald’s General Manager in Connecticut. See how exploring her passions ultimately lead her to discovering her ideal career path."']
